record_id,book_id,title,author,category,status
R0001,B0121,Long and anything,Aaron Thomas,Artificial Intelligence,Available
R0002,B0398,Assume ahead,Emily Soto,Programming,Available
R0003,B0155,Worker school TV,Melissa Todd,Literature,Borrowed
R0004,B0134,Type southern,Patrick Fritz,Computer Science,Available
R0005,B0210,Talk experience respond fish,Larry Phillips,Artificial Intelligence,Borrowed
R0006,B0006,Lawyer show,Zachary Spencer,Literature,Available
R0007,B0280,First control democratic rather trouble,Lauren Mueller,Programming,Available
R0008,B0410,Leave work phone,Logan Kramer,Computer Science,Available
R0009,B0269,Ability analysis,John Snyder,Mathematics,Available
R0010,B0124,Partner they push,Dylan Russell,Literature,Available
R0011,B0310,Could identify industry factor,Jennifer Gray,History,Available
R0012,B0124,Partner they push,Dylan Russell,Literature,Available
R0013,B0140,Training organization real,Miranda Spencer,Computer Science,Available
R0014,B0468,Like wonder,Eugene Holmes,Literature,Available
R0015,B0064,Myself happy prevent likely,Jessica Rivera,Literature,Borrowed
R0016,B0152,Hair organization five,Sheila Smith,History,Borrowed
R0017,B0341,Catch project,Joanna Watkins,Literature,Borrowed
R0018,B0399,Statement across quite,Caroline Edwards,Programming,Available
R0019,B0339,Home sell concern economy,Meagan Garcia,Computer Science,Borrowed
R0020,B0056,White whatever face,Julia Olson,Artificial Intelligence,Available
R0021,B0300,Believe finish debate there,Ronald Frank,Computer Science,Borrowed
R0022,B0118,Describe better exist into,David Lopez,Literature,Available
R0023,B0215,Admit network city few,Keith Maddox,Programming,Borrowed
R0025,B0408,Indeed stop amount,Samuel Mullins,Mathematics,Available
R0026,B0263,Smile leg,Lauren Lowe,Mathematics,Available
R0027,B0027,Picture we,Deborah Carter,Artificial Intelligence,Available
R0028,B0013,Set spend century despite,Evan Cantrell,Mathematics,Available
R0029,B0323,Local her building individual,Melanie Perez,History,Borrowed
R0030,B0303,Record give break also with,Lori Stone,Mathematics,Borrowed
R0031,B0281,Work season watch,Steven Thompson,Artificial Intelligence,Borrowed
R0032,B0349,Person forget,Brent Davis,Mathematics,Available
R0033,B0054,Enough get expect,Aaron Wilkins,Literature,Available
R0034,B0135,Responsibility TV firm be service,Sarah Johnson,Computer Science,Available
R0035,B0212,Protect off baby,Angela Mccarty,Mathematics,Available
R0036,B0005,I suggest message,Margaret Mcdonald,Programming,Available
R0037,B0473,Theory avoid media grow so,Jonathan Diaz,Literature,Available
R0038,B0372,Those major,Rachael Stanley,Computer Science,Borrowed
R0039,B0234,Cost maintain difference stage,Christopher Poole,History,Available
R0040,B0487,Instead already through,Jennifer Hubbard,Programming,Borrowed
R0041,B0081,Book protect relationship contain,Amy Anderson,Literature,Available
R0042,B0170,Government back city,Ricky Scott,Science,Borrowed
R0043,B0073,Area pay beat kind,Taylor Ramirez,Mathematics,Available
R0044,B0288,Be player then practice ball,Terry Hawkins,Literature,Available
R0045,B0116,Security recently cold,Amy Gomez,Artificial Intelligence,Available
R0046,B0265,Develop teach too little,Kevin Ellis,Programming,Available
R0047,B0459,Less but need whether,Jennifer Parker,History,Borrowed
R0048,B0093,Stage fact hour necessary they,Jamie Clark,History,Available
R0049,B0114,Sing money relate husband,Levi Mills,Literature,Borrowed
R0050,B0436,Vote account lay strong,Olivia Bailey,History,Available
R0051,B0003,Set increase everyone,Laura Gonzalez,History,Available
R0052,B0140,Training organization real,Miranda Spencer,Computer Science,Available
R0053,B0493,Again include most large,Justin Jones,Artificial Intelligence,Available
R0054,B0340,Today property,John Chavez,Programming,Available
R0055,B0361,Fire task,Justin Johnson,Artificial Intelligence,Borrowed
R0056,B0371,Management method rise,Danielle Walker,Artificial Intelligence,Available
R0057,B0388,Speak enough respond democratic city,Lori Ferguson,Computer Science,Available
R0058,B0112,Teach attorney future every,Amy Strickland,History,Available
R0059,B0070,Education shake,Kimberly Williams,Computer Science,Available
R0060,B0192,Data exist power can,Crystal Griffith,Science,Available
R0061,B0050,Forget leave serious,Allen Roberson,History,Available
R0062,B0109,Result hundred box rock political,Robert Mcmahon,History,Borrowed
R0063,B0164,Goal professor leader never amount,Pamela Reeves,Literature,Available
R0064,B0152,Hair organization five,Sheila Smith,History,Borrowed
R0065,B0279,Left stuff decide different,James Rogers,Computer Science,Available
R0066,B0103,Increase series citizen there boy,Jennifer Schmidt,Computer Science,Borrowed
R0067,B0430,Set outside campaign,Michael Morgan,Computer Science,Borrowed
R0068,B0207,Specific cup,Michael Bond,Literature,Borrowed
R0069,B0377,Assume pressure nothing,Jessica Willis,Artificial Intelligence,Available
R0070,B0231,Customer trip forget,Kristopher Stewart,Literature,Available
R0071,B0463,Financial some,Daniel Freeman,Science,Borrowed
R0072,B0174,Second home interview leave,Michael Sanders,Computer Science,Borrowed
R0073,B0080,Pm glass,Jordan Weeks,Computer Science,Available
R0074,B0305,Energy statement,Timothy Kemp,History,Available
R0075,B0466,Explain large mean base security,Maureen Galvan,Programming,Available
R0076,B0453,Thus nothing wife seek,James Clark,Artificial Intelligence,Available
R0077,B0409,Message there piece strategy away,Courtney Gutierrez,History,Available
R0078,B0182,Child nothing give its east,Lindsay Mendoza,Literature,Borrowed
R0079,B0180,Appear star situation,Bobby Ryan,Science,Available
R0080,B0066,Office forget save,Victoria Shepherd,Programming,Available
R0081,B0472,Produce trouble join point,John Vaughn,Artificial Intelligence,Borrowed
R0082,B0490,With personal gun lay bag,Linda Lee,Literature,Borrowed
R0083,B0231,Customer trip forget,Kristopher Stewart,Literature,Available
